Channel;Broadcastingdate;Exactspotbroadcastingtime;GRPmen;ContactsMen;NetCost
LCI;06/01/17;19:55:53;0,222386;128926;54,38
LCI;08/01/17;05:57:22;0,018282;10599;11,95
NT1;17/12/16;13:37:32;0,172332;99908;338,04
NT1;17/12/16;17:16:15;0,087769;50883;201,14
NT1;18/12/16;14:15:10;0,354471;205501;682,59
NT1;18/12/16;15:08:12;0,365646;211980;700,6
NT1;18/12/16;17:39:01;0,402562;233381;554,17
NT1;18/12/16;18:53:06;0,456786;264817;927,75
NT1;19/12/16;09:52:38;0,21443;124314;173,38
NT1;19/12/16;11:20:36;0,267406;155026;248,19
NT1;20/12/16;11:37:02;0,243595;141222;121,13
NT1;20/12/16;14:40:19;0,180691;104754;172,2
NT1;20/12/16;16:19:26;0,258031;149591;392,33
NT1;21/12/16;11:09:25;0,361005;209289;311,04
NT1;21/12/16;15:08:27;0,189764;110014;172,12
NT1;21/12/16;17:29:02;0,335506;194506;438,57
NT1;21/12/16;21:35:38;1,038409;602007;1983,31
NT1;22/12/16;11:49:35;0,288989;167538;331,6
NT1;22/12/16;17:32:09;0,230884;133853;291,21
NT1;23/12/16;09:46:11;0,122017;70738;70,73
NT1;23/12/16;11:44:36;0,262038;151914;271,22
NT1;23/12/16;16:54:10;0,225695;130844;309,91
NT1;25/12/16;11:17:54;0,112053;64962;243,32
NT1;25/12/16;12:05:12;0,139536;80895;208,14
NT1;25/12/16;14:09:20;0,065529;37990;99,58
NT1;25/12/16;14:58:30;0,114688;66489;258,38
NT1;26/12/16;14:58:17;0,222149;128789;390,91
NT1;26/12/16;17:15:20;0,265409;153868;359,71
NT1;26/12/16;18:16:30;0,328863;190655;336,42
NT1;26/12/16;20:15:13;0,23991;139085;477,46
NT1;27/12/16;10:47:56;0,089921;52131;119,03
NT1;27/12/16;13:33:50;0,114323;66278;221,25
NT1;27/12/16;15:51:52;0,241378;139936;401,19
NT1;28/12/16;14:57:27;0,313288;181626;482,37
NT1;28/12/16;16:32:24;0,34016;197204;575,01
NT1;29/12/16;10:03:11;0,101044;58579;91,42
NT1;29/12/16;12:18:11;0,169515;98275;295,85
NT1;29/12/16;18:16:22;0,305075;176864;485,78
NT1;29/12/16;20:50:25;0,27412;158918;529,91
NT1;30/12/16;18:12:29;0,2649;153573;183,81
NT1;31/12/16;09:32:32;0,332937;193017;540,63
NT1;31/12/16;10:41:19;0,29893;173302;564,44
NT1;31/12/16;12:15:53;0,347494;201456;634,41
NT1;31/12/16;12:46:51;0,30555;177140;460,73
NT1;31/12/16;15:44:00;0,201172;116627;326,72
NT1;31/12/16;16:57:44;0,191118;110799;303,37
NT1;31/12/16;17:57:38;0,316229;183331;462,94
NT1;31/12/16;21:33:05;0,706589;409638;964,21
NT1;01/01/17;09:51:52;0,199238;115506;156,5
NT1;01/01/17;11:12:25;0,207779;120458;368,86
NT1;01/01/17;13:27:21;0,390953;226651;740,61
NT1;01/01/17;15:14:39;0,41915;242998;899,62
NT1;01/01/17;17:26:21;0,486415;281994;853,2
NT1;01/01/17;21:16:32;0,753129;436619;1625,94
NT1;02/01/17;10:48:15;0,155895;90379;315,51
NT1;02/01/17;11:49:42;0,190129;110225;392,16
NT1;02/01/17;16:48:27;0,373671;216632;521,79
NT1;03/01/17;09:38:47;0,124544;72203;255,12
NT1;03/01/17;10:36:05;0,102173;59234;314,42
NT1;03/01/17;17:23:12;0,41632;241357;520,67
NT1;04/01/17;10:37:03;0,062066;35982;82,95
NT1;04/01/17;14:55:30;0,211402;122558;388,12
NT1;05/01/17;09:39:33;0,040548;23507;109,23
NT1;05/01/17;14:29:26;0,214957;124619;431,72
NT1;05/01/17;15:03:48;0,159669;92567;342,14
NT1;06/01/17;12:56:16;0,223097;129338;352,55
NT1;06/01/17;13:31:22;0,205435;119099;256,53
NT1;06/01/17;15:49:39;0,220379;127763;165,06
NT1;06/01/17;16:43:55;0,257546;149310;214,46
NT1;07/01/17;09:15:34;0,065319;37868;132,8
NT1;07/01/17;10:15:47;0,127417;73869;284,39
NT1;07/01/17;12:17:33;0,218811;126853;409,04
NT1;07/01/17;17:01:08;0,584112;338633;482,19
NT1;08/01/17;10:04:23;0,167998;97395;325,2
NT1;08/01/17;12:06:08;0,239293;138728;426,84
NT1;08/01/17;12:32:39;0,354268;205383;755,34
NT1;08/01/17;13:27:19;0,480574;278608;1068,62
NT1;08/01/17;14:40:18;0,483115;280081;1177,93
NT1;08/01/17;15:06:14;0,4494;260535;1089,01
TMC;17/12/16;08:58:42;0,077706;45049;149,69
TMC;17/12/16;12:18:18;0,059098;34261;96,97
TMC;17/12/16;16:19:03;0,772794;448020;928,17
TMC;17/12/16;17:37:38;0,913995;529879;1271,71
TMC;17/12/16;21:23:04;0,310001;179720;893,74
TMC;18/12/16;08:06:13;0,187001;108412;245,68
TMC;18/12/16;09:34:17;0,495081;287018;501,21
TMC;18/12/16;11:23:03;0,817379;473867;1243,58
TMC;18/12/16;15:52:54;0,487796;282795;422,91
TMC;18/12/16;19:56:18;0,859805;498463;1497,55
TMC;19/12/16;12:46:51;0,371282;215247;553,49
TMC;19/12/16;23:11:49;1,815236;1052365;4695,06
TMC;20/12/16;12:08:59;0,454909;263729;700,4
TMC;20/12/16;13:41:52;0,445756;258423;698,16
TMC;20/12/16;15:52:35;0,493639;286182;348,78
TMC;20/12/16;17:10:16;0,375734;217828;384
TMC;21/12/16;13:39:06;0,41102;238285;699,7
TMC;21/12/16;15:24:52;0,56925;330017;393,1
TMC;22/12/16;11:05:22;0,359734;208552;524,37
TMC;22/12/16;12:41:40;0,329009;190740;555,17
TMC;22/12/16;13:32:19;0,441101;255724;562,62
TMC;22/12/16;15:25:08;0,470983;273048;474,84
TMC;23/12/16;08:44:27;0,043814;25401;37,54
TMC;23/12/16;12:49:33;0,210845;122235;263,09
TMC;23/12/16;13:41:19;0,681284;394968;849,94
TMC;23/12/16;17:58:55;0,264004;153054;343,15
TMC;25/12/16;10:43:03;0,581735;337255;488,96
TMC;25/12/16;14:03:14;0,577438;334764;525,51
TMC;25/12/16;21:31:05;1,975276;1145147;2584,64
TMC;25/12/16;22:58:10;0,8344;483735;1144,33
TMC;26/12/16;09:32:46;0,307196;178094;349,89
TMC;26/12/16;16:03:02;0,421806;244538;627,54
TMC;26/12/16;22:26:32;1,228526;712226;3184,8
TMC;27/12/16;08:46:39;0,018912;10964;0
TMC;27/12/16;12:49:33;0,29414;170525;599,4
TMC;27/12/16;16:13:45;0,377036;218583;611,53
TMC;27/12/16;17:00:07;0,469385;272121;843,21
TMC;28/12/16;15:59:05;0,591039;342649;488,89
TMC;29/12/16;08:46:45;0,071508;41456;76,95
TMC;29/12/16;14:31:26;1,100766;638158;1036,58
TMC;29/12/16;15:18:22;0,698022;404671;693,86
TMC;29/12/16;15:41:47;0,661434;383460;656,54
TMC;30/12/16;09:47:37;0,327085;189624;606,78
TMC;30/12/16;13:22:43;0,435094;252241;999,06
TMC;30/12/16;16:11:59;0,500008;289875;660,57
TMC;30/12/16;17:25:47;0,51566;298949;126,48
TMC;31/12/16;09:14:55;0,141701;82150;319,6
TMC;31/12/16;09:42:01;0,31615;183285;532,89
TMC;31/12/16;13:02:44;0,400971;232459;779,39
TMC;31/12/16;14:45:53;0,803453;465794;852,09
TMC;31/12/16;17:18:04;0,784778;454967;933,92
TMC;31/12/16;20:23:32;1,223245;709164;651,24
TMC;01/01/17;11:16:06;0,338898;196473;316,15
TMC;01/01/17;13:56:49;0,731484;424071;554,17
TMC;01/01/17;15:09:38;1,362419;789849;1003,62
TMC;01/01/17;16:22:07;0,737432;427519;650,29
TMC;02/01/17;08:45:15;0,001733;1005;0,88
TMC;02/01/17;10:18:26;0,202216;117233;221,04
TMC;02/01/17;14:26:34;1,024205;593773;843
TMC;02/01/17;14:56:26;0,997604;578351;849,59
TMC;02/01/17;15:56:51;0,509132;295164;635,25
TMC;03/01/17;15:28:45;0,5491;318335;648,79
TMC;03/01/17;15:53:19;0,462256;267988;575,19
TMC;04/01/17;14:34:47;0,483449;280275;372,34
TMC;04/01/17;17:01:33;0,504175;292290;355,06
TMC;04/01/17;20:06:24;1,664473;964962;3827,67
TMC;05/01/17;14:42:38;0,73129;423958;619,01
TMC;05/01/17;15:27:09;0,492997;285810;555,19
TMC;05/01/17;17:09:20;0,469647;272273;302,06
TMC;06/01/17;09:44:33;0,082828;48019;103,41
TMC;06/01/17;12:15:41;0,161656;93718;225,54
TMC;06/01/17;14:11:09;0,5444;315610;471,73
TMC;06/01/17;16:10:22;0,381274;221040;378,06
TMC;06/01/17;16:40:17;0,32183;186578;291,95
TMC;07/01/17;12:35:36;0,089761;52038;51,51
TMC;07/01/17;13:46:11;0,420668;243878;272,31
TMC;07/01/17;14:47:46;0,654307;379328;820,08
TMC;07/01/17;16:52:59;1,05233;610078;882,65
TMC;08/01/17;10:05:43;0,477426;276783;380,16
TMC;08/01/17;13:43:55;1,074885;623154;968,69
TMC;08/01/17;15:15:41;1,318891;764614;879,47
TMC;08/01/17;18:53:09;1,201672;696657;1619,82
TMC;08/01/17;21:55:19;1,128686;654344;1544,84
TMC;08/01/17;22:58:02;1,097664;636360;1164,57
TV Breizh;18/12/16;08:52:14;0,033386;19355;7,47
TV Breizh;18/12/16;11:44:14;0,060312;34965;54,19
TV Breizh;18/12/16;12:46:37;0,055818;32360;34,12
TV Breizh;18/12/16;15:15:42;0,147123;85293;109,24
TV Breizh;18/12/16;15:41:53;0,149639;86752;71,82
TV Breizh;18/12/16;16:30:24;0,159076;92223;108,22
TV Breizh;18/12/16;18:37:56;0,128104;74267;81,94
TV Breizh;18/12/16;20:02:03;0,081643;47332;43,86
TV Breizh;18/12/16;20:48:37;0,058419;33868;57,64
TV Breizh;19/12/16;10:52:34;0,038605;22381;11,97
TV Breizh;19/12/16;11:43:43;0,055019;31897;24,22
TV Breizh;19/12/16;12:52:46;0,030143;17475;35,65
TV Breizh;19/12/16;13:38:21;0,049871;28912;29,59
TV Breizh;19/12/16;14:35:40;0,096669;56043;53,01
TV Breizh;19/12/16;15:26:41;0,050103;29047;23,09
TV Breizh;19/12/16;15:58:38;0,055846;32376;42,71
TV Breizh;19/12/16;16:26:31;0,064163;37198;28,44
TV Breizh;19/12/16;17:07:35;0,056134;32543;30,95
TV Breizh;19/12/16;18:58:35;0,060218;34911;58,28
TV Breizh;19/12/16;19:20:28;0,065522;37986;40,13
TV Breizh;19/12/16;19:45:49;0,059744;34636;47,75
TV Breizh;20/12/16;10:48:49;0,031694;18374;11,08
TV Breizh;20/12/16;12:11:00;0,0311;18030;16,03
TV Breizh;20/12/16;14:31:52;0,087403;50671;40,98
TV Breizh;20/12/16;15:14:22;0,058637;33994;38,54
TV Breizh;20/12/16;15:53:27;0,057778;33496;28,33
TV Breizh;20/12/16;16:59:47;0,046084;26717;19,92
TV Breizh;20/12/16;17:50:01;0,052084;30195;22,47
TV Breizh;20/12/16;18:52:36;0,053909;31253;39,56
TV Breizh;21/12/16;10:51:04;0,041558;24093;12,66
TV Breizh;21/12/16;13:36:28;0,036756;21309;23,43
TV Breizh;21/12/16;16:56:50;0,056029;32482;22,07
TV Breizh;21/12/16;18:24:37;0,069866;40504;27,51
TV Breizh;21/12/16;19:17:09;0,062497;36232;37,06
TV Breizh;21/12/16;19:42:32;0,059856;34701;44,03
TV Breizh;22/12/16;13:37:18;0,045481;26367;14,5
TV Breizh;22/12/16;15:56:02;0,06835;39625;31,42
TV Breizh;22/12/16;16:20:49;0,067225;38973;20,69
TV Breizh;22/12/16;17:50:22;0,069338;40198;21,82
TV Breizh;22/12/16;18:28:23;0,057833;33528;9,32
TV Breizh;22/12/16;19:44:13;0,069169;40100;21,88
TV Breizh;23/12/16;11:23:31;0,036077;20915;8,16
TV Breizh;23/12/16;11:49:52;0,049669;28795;12,05
TV Breizh;23/12/16;13:45:47;0,045998;26667;17,61
TV Breizh;23/12/16;14:32:38;0,080488;46662;30,7
TV Breizh;23/12/16;15:57:37;0,060519;35085;21,64
TV Breizh;23/12/16;17:00:27;0,052746;30579;23,63
TV Breizh;23/12/16;17:50:32;0,069274;40161;17,41
TV Breizh;23/12/16;20:17:42;0,08406;48733;23,73
TV Breizh;23/12/16;22:12:52;0,024916;14445;22,51
TV Breizh;24/12/16;08:38:42;0,02878;16685;7,61
TV Breizh;24/12/16;10:11:48;0,066519;38564;30,22
TV Breizh;24/12/16;12:02:57;0,043304;25105;7,78
TV Breizh;24/12/16;15:15:31;0,038674;22421;16,02
TV Breizh;24/12/16;17:21:45;0,065321;37869;29,27
TV Breizh;24/12/16;18:30:53;0,102779;59585;54,47
TV Breizh;24/12/16;21:24:02;0,16026;92909;214,51
TV Breizh;25/12/16;09:32:53;0,033386;19355;7,47
TV Breizh;25/12/16;11:35:57;0,044258;25658;23,43
TV Breizh;25/12/16;12:17:09;0,060312;34965;54,19
TV Breizh;25/12/16;13:04:57;0,061357;35571;37,65
